user_id,signup_ts,country
U0001,2025-11-06T07:53:23Z,PL
U0002,2025-04-15T05:40:50Z,ES
U0003,2025-03-12T17:07:01Z,CZ
U0004,2025-12-15T23:45:05Z,UK
U0005,2025-06-17T19:27:32Z,PL
U0006,2025-06-06T02:33:27Z,PL
U0007,2025-05-28T16:28:29Z,PL
U0008,2025-04-26T04:35:15Z,NL
U0009,2025-12-14T00:24:33Z,UK
U0010,2025-04-11T19:19:27Z,CZ
U0011,2025-11-20T19:17:46Z,PL
U0012,2025-12-15T15:31:25Z,IT
U0013,2025-09-30T19:11:04Z,SK
U0014,2025-04-05T18:19:43Z,PL
U0015,2025-10-18T07:47:20Z,PL
U0016,2025-08-13T20:35:47Z,PL
U0017,2025-03-15T08:14:09Z,PL
U0018,2025-03-14T13:43:48Z,DE
U0019,2025-04-08T09:18:10Z,DE
U0020,2025-05-26T21:51:13Z,PL
U0021,2025-06-01T08:33:24Z,UK
U0022,2025-09-15T06:15:09Z,PL
U0023,2025-10-22T19:13:16Z,PL
U0024,2025-03-13T07:19:59Z,PL
U0025,2025-10-06T23:10:59Z,DE
U0026,2025-05-19T05:18:04Z,SK
U0027,2025-12-06T01:47:11Z,PL
U0028,2025-11-10T09:21:43Z,DE
U0029,2025-11-30T08:49:21Z,UK
U0030,2025-09-30T15:13:21Z,PL
U0031,2025-08-12T22:12:29Z,UK
U0032,2025-05-27T14:39:19Z,PL
U0033,2025-08-24T10:55:54Z,PL
U0034,2025-10-17T20:21:15Z,ES
U0035,2025-06-19T00:55:31Z,IT
U0036,2026-01-11T08:26:19Z,SK
U0037,2025-03-05T12:34:22Z,PL
U0038,2025-12-22T16:35:50Z,PL
U0039,2026-01-09T22:46:47Z,UK
U0040,2025-05-04T00:07:57Z,DE
U0041,2025-11-29T03:07:50Z,PL
U0042,2025-08-14T03:03:06Z,DE
U0043,2025-07-13T03:21:52Z,PL
U0044,2025-06-18T21:56:55Z,FR
U0045,2025-05-02T09:10:26Z,PL
U0046,2025-05-25T14:52:10Z,UK
U0047,2025-12-24T12:16:51Z,PL
U0048,2025-07-11T17:17:18Z,DE
U0049,2025-04-11T16:40:07Z,DE
U0050,2025-04-08T00:27:14Z,PL
U0051,2025-07-28T13:10:44Z,IT
U0052,2025-04-09T13:27:43Z,CZ
U0053,2025-07-20T09:55:49Z,ES
U0054,2025-07-14T13:53:58Z,FR
U0055,2025-10-23T11:08:04Z,UK
U0056,2025-06-13T17:30:47Z,FR
U0057,2026-01-10T10:58:50Z,PL
U0058,2025-03-19T20:59:14Z,PL
U0059,2025-12-11T09:35:35Z,PL
U0060,2025-08-28T10:09:00Z,PL
U0061,2025-09-27T06:00:29Z,PL
U0062,2025-04-20T11:27:50Z,PL
U0063,2025-07-28T00:11:46Z,SK
U0064,2025-04-02T14:28:15Z,PL
U0065,2025-10-03T09:23:29Z,PL
U0066,2025-06-24T20:37:10Z,DE
U0067,2026-01-19T02:36:42Z,PL
U0068,2025-11-02T03:20:51Z,SK
U0069,2025-10-29T05:01:18Z,PL
U0070,2025-07-21T10:40:57Z,SE
U0071,2025-10-13T05:18:43Z,CZ
U0072,2025-05-16T16:15:34Z,PL
U0073,2025-12-01T15:05:07Z,PL
U0074,2025-03-30T00:18:03Z,SK
U0075,2025-03-20T19:06:51Z,CZ
U0076,2025-11-14T19:25:15Z,CZ
U0077,2025-05-30T12:09:57Z,CZ
U0078,2025-12-28T05:31:09Z,PL
U0079,2025-06-23T09:17:28Z,PL
U0080,2025-04-02T23:42:54Z,PL
U0081,2025-06-01T09:46:05Z,NL
U0082,2025-04-11T05:24:05Z,UK
U0083,2025-07-28T15:01:59Z,PL
